Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'FULL_MODEL_REDUCED_DECODE'.
Using operations until 'FULL_MODEL_REDUCED_DECODE_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 5315    0.9 %         BinaryNgDeviceOperation                                           2        25 μs          1 μs    110                                                       BF16 => BF16
 5318    0.9 %         FillPadDeviceOperation                                            2        25 μs          1 μs    110                                                       BF16 => BF16
 5320    0.1 %         PlusOneDeviceOperation                                            2         1 μs          1 μs      1                                                   UINT32 => UINT32
 5333    1.3 %         TypecastDeviceOperation                                           0        23 μs         13 μs    110                                                       BF16 => BF16
 5335   10.0 %         TopkLargeIndicesDeviceOperation                                   0       279 μs          0 μs    110                                                     BF16 => UINT32
 5337    0.7 %         AllGatherDeviceOperation                                          0        17 μs          1 μs      2                                                       BF16 => BF16
 5338    0.3 %         AllGatherDeviceOperation                                          0         7 μs          1 μs      2                                                   UINT32 => UINT32
 5342    0.6 %         ManualSeedDeviceOperation                                         0        16 μs          1 μs    110                                           UINT32, UINT32 => UINT32
 5351    0.1 %         TypecastDeviceOperation                                           3         2 μs          1 μs      4                                                    UINT32 => INT32
 5355    1.5 %         SamplingDeviceOperation                                           3        27 μs         14 μs     32                                              BF16, INT32 => UINT32
 5358    1.0 %         TopkRoutePrepDeviceOperation                                      2        26 μs          1 μs     86                                                       BF16 => BF16
 5360    0.8 %         TopkRouteFinishDeviceOperation                                    2        22 μs          1 μs      2                                               BF16, UINT32 => BF16
 5364    0.1 %         BinaryNgDeviceOperation                                           2         3 μs          1 μs    110                                              INT32, INT32 => INT32
 5365    0.2 %         UntilizeDeviceOperation                                           2         4 μs          1 μs      1                                                     INT32 => INT32
 5368    0.1 %         CopyDeviceOperation                                               2         1 μs          1 μs      1                                           UINT32, UINT32 => UINT32
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       100.0 %         207 device ops, 0 host ops, 0 signposts                                 2,592 μs        215 μs         101 GB/s  19.7 %

💡 Advice 💡
============

High Op-to-Op Gap
----------------
 5333    1.3 %         TypecastDeviceOperation                                           0        23 μs         13 μs    110                                                       BF16 => BF16
 5355    1.5 %         SamplingDeviceOperation                                           3        27 μs         14 μs     32                                              BF16, INT32 => UINT32

These ops have a >6 μs gap since the previous operation. Running with tracing could save 15 μs (0.5% of overall time)
Alternatively ensure device is not waiting for the host. Experts can try moving runtime args in the kernels to compile-time args.

Matmul Optimization
-------------------
 4617    3.8 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 384        1       107 μs          1 μs      6   81 GB/s  15.8 %   5.2 TFLOPs   15.6 %   LoFi BF16 x BFP8 => BF16
- in0_block_w=44 and output subblock 1x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

