Detected CSV format: v2.1 (with device arch and worker core count)
Using user-specified architecture: blackhole (CSV detected blackhole)
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1'.
Using operations until 'PERF_DECODE_layer0_sliding_attention_seq1024_batch1_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                     Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 7507    0.0 %         SliceDeviceOperation                                              2         2 μs          1 μs     17                                                       BF16 => BF16
 7514    0.0 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     88                                                       BF16 => BF16
 7524    0.0 %         SliceDeviceOperation                                              2         1 μs          1 μs      1                                                   UINT16 => UINT16
 7526    0.0 %         UntilizeWithUnpaddingDeviceOperation                              2         1 μs          1 μs      1                                                   UINT16 => UINT16
 7528    0.0 %         ScatterDeviceOperation                                            2         3 μs          2 μs      1                                               BF16, UINT16 => BF16
 7536    0.0 %         TransposeDeviceOperation                                          2         5 μs          0 μs    110                                                       BF16 => BF16
 7539    0.0 %         TransposeDeviceOperation                                          2        37 μs          1 μs    110                                                       BF16 => BF16
 7541    0.0 %         ReshapeViewDeviceOperation                                        2         4 μs          1 μs      4                                                       BF16 => BF16
 7544    0.0 %         InterleavedToShardedDeviceOperation                               2         1 μs          0 μs     88                                                       BF16 => BF16
 7546    0.0 %         ShardedToInterleavedDeviceOperation                               2         1 μs          1 μs     88                                                       BF16 => BF16
 7547    0.0 %         InterleavedToShardedDeviceOperation                               2         1 μs          1 μs     22                                                       BF16 => BF16
 7550    0.0 %         LayerNormDeviceOperation                                          2         6 μs          1 μs     22                                                 BF16, BF16 => BF16
 7551    0.0 %         BinaryNgDeviceOperation                                           2         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7553   33.2 %         InterleavedToShardedDeviceOperation                               1         1 μs     49,464 μs     22                                                       BF16 => BF16
 7554    0.0 %         LayerNormDeviceOperation                                          1         6 μs          5 μs     22                                                 BF16, BF16 => BF16
 7556    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 2048                            1        51 μs          3 μs     64  233 GB/s  45.5 %   7.3 TFLOPs    8.2 %  HiFi4 BF16 x BF16 => BF16
 7561    0.0 %         LayerNormDeviceOperation                                          1         5 μs          1 μs      1                                                 BF16, BF16 => BF16
 7563    0.0 %         LayerNormDeviceOperation                                          1         5 μs          1 μs      1                                                       BF16 => BF16
 7564    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 7566    0.0 %         InterleavedToShardedDeviceOperation                               1         1 μs          1 μs      1                                                       BF16 => BF16
 7572    0.0 %         PagedUpdateCacheDeviceOperation                                   1         4 μs          1 μs      1                                                 BF16, BF16 => BF16
 7577    0.0 %         InterleavedToShardedDeviceOperation                               1         2 μs          1 μs      8                                                       BF16 => BF16
 7591    0.0 %         ShardedToInterleavedDeviceOperation                               1         1 μs          1 μs      2                                                       BF16 => BF16
 7598    0.0 %         InterleavedToShardedDeviceOperation                               1         2 μs          1 μs     88                                                       BF16 => BF16
 7606    0.0 %         TypecastDeviceOperation                                           1         2 μs          1 μs      4                                                       FP32 => BF16
 7609    0.0 %         SliceDeviceOperation                                              1         1 μs          1 μs      1                                                       BF16 => BF16
 7613    0.0 %         UntilizeWithUnpaddingDeviceOperation                              1         1 μs          1 μs      1                                                       BF16 => BF16
 7615    0.0 %         ShardedToInterleavedDeviceOperation                               1         2 μs          1 μs     22                                                       BF16 => BF16
 7617    0.1 %   SLOW  SparseMatmulDeviceOperation active=8/128 x 32 x 2816 x 384        1       107 μs          1 μs      6   81 GB/s  15.9 %   5.2 TFLOPs   15.7 %   LoFi BF16 x BFP8 => BF16
 7618    0.0 %         TransposeDeviceOperation                                          1         6 μs          0 μs    110                                                       BF16 => BF16
 7619    0.0 %         SliceDeviceOperation                                              1         2 μs          1 μs     24                                                       BF16 => BF16
 7623    0.0 %         UnaryDeviceOperation                                              1        36 μs          0 μs    110                                                 BF16, BF16 => BF16
 7628    0.0 %         BinaryNgDeviceOperation                                           1         5 μs          1 μs    110                                                 BF16, BF16 => BF16
 7635    0.0 %         BinaryNgDeviceOperation                                           1         2 μs          1 μs    110                                                 BF16, BF16 => BF16
 7637    0.0 %         BinaryNgDeviceOperation                                           1         2 μs          0 μs    110                                                 BF16, BF16 => BF16
 7639   33.2 %         InterleavedToShardedDeviceOperation                               0         1 μs     49,464 μs     22                                                       BF16 => BF16
 7642    0.0 %   SLOW  MatmulDeviceOperation 32 x 2816 x 2048                            0        51 μs          3 μs     64  233 GB/s  45.5 %   7.3 TFLOPs    8.2 %  HiFi4 BF16 x BF16 => BF16
