# DENSE decode program-config sweep, per-device TP=4 shapes. grid 11x10
# columns: role M K N family cores in0_block_w per_core_N us spread
# --- attn_in M=32 K=2048 N=2560 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 9216)
DENSE gdn_out 32 1024 2048 mcast1d 88 32 1 11.18 0.06
DENSE gdn_out 32 1024 2048 mcast1d 110 1 1 37.44 0.18
DENSE gdn_out 32 1024 2048 mcast1d 110 2 1 20.75 0.02
DENSE gdn_out 32 1024 2048 mcast1d 110 4 1 12.71 0.01
DENSE gdn_out 32 1024 2048 mcast1d 110 8 1 10.00 0.18
DENSE gdn_out 32 1024 2048 mcast1d 110 16 1 10.59 0.15
DENSE gdn_out 32 1024 2048 mcast1d 110 32 1 11.24 0.04
# --- shared_in M=32 K=2048 N=288 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 1056)
DENSE shared_in 32 2048 288 default - - - 25.98 0.18
DENSE shared_in 32 2048 288 mcast1d 4 1 3 45.31 0.13
DENSE shared_in 32 2048 288 mcast1d 4 2 3 26.19 0.05
DENSE shared_in 32 2048 288 mcast1d 4 4 3 16.40 0.35
DENSE shared_in 32 2048 288 mcast1d 4 8 3 12.90 0.07
DENSE shared_in 32 2048 288 mcast1d 4 16 3 11.96 0.23
DENSE shared_in 32 2048 288 mcast1d 4 32 3 12.34 0.07
DENSE shared_in 32 2048 288 mcast1d 8 1 2 45.11 0.30
DENSE shared_in 32 2048 288 mcast1d 8 2 2 26.01 0.14
DENSE shared_in 32 2048 288 mcast1d 8 4 2 16.06 0.07
DENSE shared_in 32 2048 288 mcast1d 8 8 2 11.38 1.12
DENSE shared_in 32 2048 288 mcast1d 8 16 2 9.50 0.07
DENSE shared_in 32 2048 288 mcast1d 8 32 2 9.41 0.10
DENSE shared_in 32 2048 288 mcast1d 22 1 1 46.15 0.10
DENSE shared_in 32 2048 288 mcast1d 22 2 1 26.01 0.10
DENSE shared_in 32 2048 288 mcast1d 22 4 1 16.08 0.05
DENSE shared_in 32 2048 288 mcast1d 22 8 1 11.13 0.11
DENSE shared_in 32 2048 288 mcast1d 22 16 1 8.88 0.68
DENSE shared_in 32 2048 288 mcast1d 22 32 1 8.92 0.23
DENSE shared_in 32 2048 288 mcast1d 33 1 1 46.10 0.29
DENSE shared_in 32 2048 288 mcast1d 33 2 1 26.05 0.08
DENSE shared_in 32 2048 288 mcast1d 33 4 1 16.06 0.08
DENSE shared_in 32 2048 288 mcast1d 33 8 1 11.12 0.23
DENSE shared_in 32 2048 288 mcast1d 33 16 1 9.07 0.49
DENSE shared_in 32 2048 288 mcast1d 33 32 1 8.99 0.15
DENSE shared_in 32 2048 288 mcast1d 33 1 1 46.24 0.17
DENSE shared_in 32 2048 288 mcast1d 33 2 1 26.15 0.08
DENSE shared_in 32 2048 288 mcast1d 33 4 1 16.19 0.05
DENSE shared_in 32 2048 288 mcast1d 33 8 1 11.29 0.10
DENSE shared_in 32 2048 288 mcast1d 33 16 1 9.20 0.04
DENSE shared_in 32 2048 288 mcast1d 33 32 1 9.08 0.08
DENSE shared_in 32 2048 288 mcast1d 55 1 1 46.27 0.07
DENSE shared_in 32 2048 288 mcast1d 55 2 1 26.11 0.20
DENSE shared_in 32 2048 288 mcast1d 55 4 1 16.26 2.73
DENSE shared_in 32 2048 288 mcast1d 55 8 1 14.08 0.35
DENSE shared_in 32 2048 288 mcast1d 55 16 1 13.39 0.60
DENSE shared_in 32 2048 288 mcast1d 55 32 1 13.57 0.52
DENSE shared_in 32 2048 288 mcast1d 66 1 1 46.40 0.20
DENSE shared_in 32 2048 288 mcast1d 66 2 1 26.13 0.10
DENSE shared_in 32 2048 288 mcast1d 66 4 1 16.09 0.12
DENSE shared_in 32 2048 288 mcast1d 66 8 1 11.41 1.76
DENSE shared_in 32 2048 288 mcast1d 66 16 1 8.75 4.59
DENSE shared_in 32 2048 288 mcast1d 66 32 1 8.87 0.38
DENSE shared_in 32 2048 288 mcast1d 88 1 1 46.21 0.13
DENSE shared_in 32 2048 288 mcast1d 88 2 1 26.14 0.13
DENSE shared_in 32 2048 288 mcast1d 88 4 1 16.14 0.06
DENSE shared_in 32 2048 288 mcast1d 88 8 1 11.27 0.07
DENSE shared_in 32 2048 288 mcast1d 88 16 1 8.80 0.51
DENSE shared_in 32 2048 288 mcast1d 88 32 1 8.70 0.33
DENSE shared_in 32 2048 288 mcast1d 110 1 1 46.17 0.07
DENSE shared_in 32 2048 288 mcast1d 110 2 1 26.13 0.10
DENSE shared_in 32 2048 288 mcast1d 110 4 1 16.31 0.06
DENSE shared_in 32 2048 288 mcast1d 110 8 1 12.87 0.72
DENSE shared_in 32 2048 288 mcast1d 110 16 1 12.71 0.49
DENSE shared_in 32 2048 288 mcast1d 110 32 1 12.56 0.74
# --- shared_down M=32 K=128 N=2048 weight=bfloat8_b fidelity=HiFi2 single_chip=(512, 2048)
DENSE shared_down 32 128 2048 default - - - 15.50 0.54
DENSE shared_down 32 128 2048 mcast1d 4 1 16 8.93 2.15
DENSE shared_down 32 128 2048 mcast1d 4 2 16 8.95 0.64
DENSE shared_down 32 128 2048 mcast1d 4 4 16 8.85 0.51
DENSE shared_down 32 128 2048 mcast1d 4 4 16 8.70 0.72
DENSE shared_down 32 128 2048 mcast1d 4 4 16 8.75 0.06
DENSE shared_down 32 128 2048 mcast1d 4 4 16 8.57 0.23
DENSE shared_down 32 128 2048 mcast1d 8 1 8 8.96 0.18
DENSE shared_down 32 128 2048 mcast1d 8 2 8 8.83 0.46
DENSE shared_down 32 128 2048 mcast1d 8 4 8 8.87 0.56
DENSE shared_down 32 128 2048 mcast1d 8 4 8 8.79 0.18
DENSE shared_down 32 128 2048 mcast1d 8 4 8 8.71 0.20
DENSE shared_down 32 128 2048 mcast1d 8 4 8 8.76 0.26
DENSE shared_down 32 128 2048 mcast1d 22 1 3 9.13 0.44
DENSE shared_down 32 128 2048 mcast1d 22 2 3 9.11 0.75
DENSE shared_down 32 128 2048 mcast1d 22 4 3 9.29 0.20
DENSE shared_down 32 128 2048 mcast1d 22 4 3 9.00 0.02
DENSE shared_down 32 128 2048 mcast1d 22 4 3 8.83 0.86
DENSE shared_down 32 128 2048 mcast1d 22 4 3 8.98 0.29
DENSE shared_down 32 128 2048 mcast1d 33 1 2 9.37 0.23
DENSE shared_down 32 128 2048 mcast1d 33 2 2 9.30 0.80
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.07 0.72
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.21 0.08
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.19 0.30
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.43 0.04
DENSE shared_down 32 128 2048 mcast1d 33 1 2 9.27 0.25
DENSE shared_down 32 128 2048 mcast1d 33 2 2 9.35 0.17
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.20 0.14
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.18 0.85
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.20 0.12
DENSE shared_down 32 128 2048 mcast1d 33 4 2 9.14 0.20
DENSE shared_down 32 128 2048 mcast1d 55 1 2 9.37 0.52
DENSE shared_down 32 128 2048 mcast1d 55 2 2 9.25 0.45
DENSE shared_down 32 128 2048 mcast1d 55 4 2 9.20 0.50
DENSE shared_down 32 128 2048 mcast1d 55 4 2 9.17 0.26
DENSE shared_down 32 128 2048 mcast1d 55 4 2 9.17 0.38
DENSE shared_down 32 128 2048 mcast1d 55 4 2 9.25 0.11
DENSE shared_down 32 128 2048 mcast1d 66 1 1 10.03 0.54
DENSE shared_down 32 128 2048 mcast1d 66 2 1 9.99 0.36
DENSE shared_down 32 128 2048 mcast1d 66 4 1 9.79 0.33
DENSE shared_down 32 128 2048 mcast1d 66 4 1 9.88 0.25
DENSE shared_down 32 128 2048 mcast1d 66 4 1 9.94 0.06
DENSE shared_down 32 128 2048 mcast1d 66 4 1 9.80 0.37
DENSE shared_down 32 128 2048 mcast1d 88 1 1 13.32 1.88
DENSE shared_down 32 128 2048 mcast1d 88 2 1 14.58 0.43
