# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=8192 B
# columns: shape arm mode us correct_pcc
CCLPKT 4352 rows96 all_reduce_async_l1 trace 44.07 0.999997
CCLPKT 4352 rows128 all_reduce_ring eager 126.53 0.999998
CCLPKT 4352 rows128 all_reduce_ring trace 33.19 0.999998
CCLPKT 4352 rows128 rs_ag_ring eager 129.28 0.999998
CCLPKT 4352 rows128 rs_ag_ring trace 33.20 0.999998
CCLPKT 4352 rows128 rs_only_ring eager 67.18 0.999998
CCLPKT 4352 rows128 rs_only_ring trace 19.39 0.999998
CCLPKT 4352 rows128 all_reduce_linear eager 121.93 0.999997
CCLPKT 4352 rows128 all_reduce_linear trace 39.96 0.999997
CCLPKT 4352 rows128 rs_ag_linear eager 118.11 0.999997
CCLPKT 4352 rows128 rs_ag_linear trace 39.99 0.999997
CCLPKT 4352 rows128 rs_only_linear eager 69.17 0.999997
CCLPKT 4352 rows128 rs_only_linear trace 25.60 0.999997
CCLPKT 4352 rows128 ag_stack_sum eager 67.42 0.999998
CCLPKT 4352 rows128 ag_stack_sum trace 43.72 0.999998
CCLPKT 4352 rows128 all_reduce_async eager 122.20 0.999997
CCLPKT 4352 rows128 all_reduce_async trace 50.88 0.999997
CCLPKT 4352 rows128 all_reduce_async_l1 eager 122.79 0.999997
CCLPKT 4352 rows128 all_reduce_async_l1 trace 49.42 0.999997
CCLPKT 4352 rows256 all_reduce_ring eager 122.99 0.999998
CCLPKT 4352 rows256 all_reduce_ring trace 49.14 0.999998
CCLPKT 4352 rows256 rs_ag_ring eager 173.99 0.999998
CCLPKT 4352 rows256 rs_ag_ring trace 49.19 0.999998
CCLPKT 4352 rows256 rs_only_ring eager 60.13 0.999998
CCLPKT 4352 rows256 rs_only_ring trace 27.61 0.999998
CCLPKT 4352 rows256 all_reduce_linear eager 120.97 0.999997
CCLPKT 4352 rows256 all_reduce_linear trace 57.54 0.999997
CCLPKT 4352 rows256 rs_ag_linear eager 120.67 0.999997
CCLPKT 4352 rows256 rs_ag_linear trace 57.56 0.999997
CCLPKT 4352 rows256 rs_only_linear eager 72.26 0.999997
CCLPKT 4352 rows256 rs_only_linear trace 36.11 0.999997
CCLPKT 4352 rows256 ag_stack_sum eager 80.01 0.999998
CCLPKT 4352 rows256 ag_stack_sum trace 77.17 0.999998
CCLPKT 4352 rows256 all_reduce_async eager 124.66 0.999997
CCLPKT 4352 rows256 all_reduce_async trace 70.81 0.999997
CCLPKT 4352 rows256 all_reduce_async_l1 eager 122.42 0.999997
CCLPKT 4352 rows256 all_reduce_async_l1 trace 69.48 0.999997
CCLPKT 4352 rows512 all_reduce_ring eager 126.46 0.999998
CCLPKT 4352 rows512 all_reduce_ring trace 76.45 0.999998
CCLPKT 4352 rows512 rs_ag_ring eager 151.93 0.999998
CCLPKT 4352 rows512 rs_ag_ring trace 76.49 0.999998
CCLPKT 4352 rows512 rs_only_ring eager 72.28 0.999998
CCLPKT 4352 rows512 rs_only_ring trace 44.25 0.999998
CCLPKT 4352 rows512 all_reduce_linear eager 123.78 0.999997
CCLPKT 4352 rows512 all_reduce_linear trace 92.84 0.999997
CCLPKT 4352 rows512 rs_ag_linear eager 135.62 0.999997
CCLPKT 4352 rows512 rs_ag_linear trace 93.05 0.999997
CCLPKT 4352 rows512 rs_only_linear eager 83.95 0.999997
CCLPKT 4352 rows512 rs_only_linear trace 58.63 0.999997
CCLPKT 4352 rows512 ag_stack_sum eager 125.62 0.999998
CCLPKT 4352 rows512 ag_stack_sum trace 125.25 0.999998
CCLPKT 4352 rows512 all_reduce_async eager 124.59 0.999997
CCLPKT 4352 rows512 all_reduce_async trace 112.10 0.999997
CCLPKT 4352 rows512 all_reduce_async_l1 eager 130.33 0.999997
CCLPKT 4352 rows512 all_reduce_async_l1 trace 110.43 0.999997
CCLPKT 4352 decode_b32 all_reduce_ring eager 140.52 0.999998
CCLPKT 4352 decode_b32 all_reduce_ring trace 135.16 0.999998
CCLPKT 4352 decode_b32 rs_ag_ring eager 137.51 0.999998
CCLPKT 4352 decode_b32 rs_ag_ring trace 135.20 0.999998
CCLPKT 4352 decode_b32 rs_only_ring eager 78.10 0.999998
CCLPKT 4352 decode_b32 rs_only_ring trace 77.56 0.999998
CCLPKT 4352 decode_b32 all_reduce_linear eager 158.38 0.999997
CCLPKT 4352 decode_b32 all_reduce_linear trace 157.88 0.999997
CCLPKT 4352 decode_b32 rs_ag_linear eager 158.72 0.999997
CCLPKT 4352 decode_b32 rs_ag_linear trace 157.92 0.999997
CCLPKT 4352 decode_b32 rs_only_linear eager 99.00 0.999997
CCLPKT 4352 decode_b32 rs_only_linear trace 97.56 0.999997
CCLPKT 4352 decode_b32 ag_stack_sum eager 234.66 0.999998
CCLPKT 4352 decode_b32 ag_stack_sum trace 233.29 0.999998
CCLPKT 4352 decode_b32 all_reduce_async eager 188.45 0.999997
CCLPKT 4352 decode_b32 all_reduce_async trace 187.91 0.999997
CCLPKT 4352 decode_b32 all_reduce_async_l1 eager 187.14 0.999997
CCLPKT 4352 decode_b32 all_reduce_async_l1 trace 184.82 0.999997
CCLPKT 4352 prefill_2048 all_reduce_ring eager 198.93 0.999998
CCLPKT 4352 prefill_2048 all_reduce_ring trace 196.81 0.999998
CCLPKT 4352 prefill_2048 rs_ag_ring eager 197.60 0.999998
CCLPKT 4352 prefill_2048 rs_ag_ring trace 196.88 0.999998
CCLPKT 4352 prefill_2048 rs_only_ring eager 105.04 0.999998
CCLPKT 4352 prefill_2048 rs_only_ring trace 104.29 0.999998
CCLPKT 4352 prefill_2048 all_reduce_linear eager 267.07 0.999997
CCLPKT 4352 prefill_2048 all_reduce_linear trace 266.58 0.999997
CCLPKT 4352 prefill_2048 rs_ag_linear eager 268.65 0.999997
CCLPKT 4352 prefill_2048 rs_ag_linear trace 267.75 0.999997
